"chnm","spid","win_model","hill_tp","hill_ga","hill_gw","max_med","hitc"
"17-Methyltestosterone","CYP1A2","Gain-Loss",6.20260878349899,-2.58278556843488,0.786677467397653,6.23210911034888,1
"17-Methyltestosterone","Bgal","Gain-Loss",6.17735035375282,-2.5486599602127,0.855832627547255,6.2930163141841,1
"17-Methyltestosterone","No_RNA","Hill",5.7170892627199,-2.54000956447218,0.929687679766923,6.03510554647765,1
"17-Methyltestosterone","CYP2A6","Gain-Loss",5.93447390473261,-3.1589533954704,7.99997577902216,6.35727748856336,1
"17-Methyltestosterone","CYP2B6","Hill",5.91681944649255,-2.64564485170644,0.874262831210696,6.16456321894919,1
"17-Methyltestosterone","CYP2C8","Gain-Loss",6.34670859430456,-2.56178219107106,0.766647318003916,6.49885466852046,1
"17-Methyltestosterone","CYP2C9","Hill",6.20934415309309,-2.69458111605052,0.782503481682651,6.62666590072805,1
"17-Methyltestosterone","CYP2C19","Gain-Loss",6.20329948858411,-2.57040308727091,0.748555811577551,6.35961129726652,1
"17-Methyltestosterone","CYP2D6","Hill",6.21548188628827,-2.58742478591688,0.833736884600761,6.409609863051,1
"17-Methyltestosterone","CYP2E1","Hill",6.29199820402153,-2.60530517198998,0.84755491557686,6.61077954720533,1
"17-Methyltestosterone","CYP2J2","Gain-Loss",6.34569622779493,-2.57892361434895,0.803060702373642,6.43717355149967,1
"17-Methyltestosterone","CYP3A4","Gain-Loss",6.5364998630453,-2.5408295882893,0.739339515751426,6.7086629269178,1
"17alpha-Estradiol","CYP1A2","Hill",0.421846554095402,1.02887136449342,7.99999996839623,0.550254987625377,0
"17alpha-Estradiol","Bgal","Hill",0.436901845621048,1.09280770241364,7.99999311275726,0.441034339996081,0
"17alpha-Estradiol","No_RNA","Gain-Loss",0.569249815003254,1.04248730129616,7.9999999378422,0.222848657583613,0
"17alpha-Estradiol","CYP2A6","Hill",0.281669587657231,0.990311560449057,7.19777840280762,0.350492541014562,0
"17alpha-Estradiol","CYP2B6","Hill",0.421833819992034,0.807221827259619,7.99999998321153,0.469109988686256,0
"17alpha-Estradiol","CYP2C8","Gain-Loss",1.56154230991723,1.08078675909976,2.37303337051319,1.11675978543102,1
"17alpha-Estradiol","CYP2C9","Gain-Loss",0.760926423113743,1.06792581805661,7.99999865330599,0.587895955322431,0
"17alpha-Estradiol","CYP2C19","Hill",0.443817059354026,1.04979078352262,7.99999997432831,0.522948506021686,0
"17alpha-Estradiol","CYP2D6","Hill",0.461246685560887,0.996576398105459,7.99999988695252,0.507896560449016,0
"17alpha-Estradiol","CYP2E1","Hill",0.501272347293641,1.01039855243754,7.18977041362626,0.626685013522464,0
"17alpha-Estradiol","CYP2J2","Gain-Loss",0.467864004996101,1.03562425832058,7.99999903134269,0.475184714096502,0
"17alpha-Estradiol","CYP3A4","Constant",0,0,0,0.272221725441779,0
"17alpha-Ethinylestradiol","CYP1A2","Gain-Loss",1.67984980511401,-0.0821020695260179,1.89329458174467,1.65724973181991,1
"17alpha-Ethinylestradiol","Bgal","Gain-Loss",1.48047026865369,-0.120086833391467,1.81360812533361,1.60158556400903,1
"17alpha-Ethinylestradiol","No_RNA","Gain-Loss",1.41974725432058,-0.064599085358309,1.68360107764903,1.39965671126545,1
"17alpha-Ethinylestradiol","CYP2A6","Gain-Loss",1.83061223789253,0.0453170666080922,1.3489147213326,1.62005473477025,1
"17alpha-Ethinylestradiol","CYP2B6","Gain-Loss",1.24861122499669,-0.156301226495752,1.89756032281606,1.33523554081651,1
"17alpha-Ethinylestradiol","CYP2C8","Gain-Loss",1.54192148172757,-0.187357466508383,2.15120770135494,1.61680486522021,1
"17alpha-Ethinylestradiol","CYP2C9","Gain-Loss",1.47428150268307,0.437761844734822,2.33866379706286,1.43095017483914,1
"17alpha-Ethinylestradiol","CYP2C19","Gain-Loss",1.64123014817684,-0.0161305270713899,1.9952200196879,1.76408643900993,1
